S.N.,Name of State/UT,Total Ration Cards,No. of Ration Cards Seeded with Aadhaar,Seeding (%),No. of Ration Cards Deleted (2013-18)
1,Andaman & Nicobar,14602,13310,0.9,37
2,Andhra Pradesh,9293081,9293081,1,1155661
3,Arunachal Pradesh,177607,100514,0.6,19561
4,Assam,5787581,1873,0,286008
5,Bihar,16344784,12786374,0.8,44404
6,Chandigarh,70220,69875,1,88
7,Chhattisgarh,5285760,5186560,1,1256000
8,Dadra & Nagar Haveli,45210,45207,1,549
9,Daman & Diu,19949,19949,1,5533
10,Delhi,1719074,1719074,1,65647
11,Goa,141428,138348,1,157461
12,Gujarat,6626069,6570773,1,257728
13,Haryana,2665586,2659841,1,474921
14,Himachal Pradesh,682721,679031,1,61438
15,Jammu & Kashmir,1675723,1288658,0.8,55344
16,Jharkhand,5703023,5405202,1,453958
17,Karnataka,12448653,12448636,1,2756817
18,Kerala,3663684,3619108,1,4464
19,Lakshadweep,5157,5138,1,1390
20,Madhya Pradesh,11747674,10563589,0.9,575110
21,Maharashtra,14601093,14140794,1,2162391
22,Manipur,587197,454427,0.8,336
23,Meghalaya,421455,0,0,370
24,Mizoram,147562,136351,0.9,1503
25,Nagaland,284934,182383,0.6,11768
26,Odisha,8684037,8172180,0.9,686211
27,Puducherry,176571,176521,1,95393
28,Punjab,3533250,3502521,1,206166
29,Rajasthan,10599974,10215364,1,1478685
30,Sikkim,95116,85569,0.9,12840
31,Tamil Nadu,10070930,10070919,1,428096
32,Telangana,4972809,4959563,1,2097564
33,Tripura,578852,578603,1,176986
34,Uttar Pradesh,35337547,35294620,1,7557332
35,Uttarakhand,1324139,1231182,0.9,646337
36,West Bengal,56313364,36193615,0.6,6613961
Total,Total,231846416,198008753,0.9,29808058